Using OSRM walking only — no haversine fallback; tries all mirrors until one succeeds.
Loaded 123 POIs from pois_WF2_0GU.tsv
Total: 123 POIs
Starting: 1353 candidate routes (OSRM=on)
[404s] 329/1353 | routes: 328 | skipped: 0
[405s] 330/1353 | routes: 329 | skipped: 0
[407s] 331/1353 | routes: 330 | skipped: 0
[408s] 332/1353 | routes: 331 | skipped: 0
[410s] 333/1353 | routes: 332 | skipped: 0
[411s] 334/1353 | routes: 333 | skipped: 0
[413s] 335/1353 | routes: 334 | skipped: 0
[414s] 336/1353 | routes: 335 | skipped: 0
[415s] 337/1353 | routes: 336 | skipped: 0
[417s] 338/1353 | routes: 337 | skipped: 0
[418s] 339/1353 | routes: 338 | skipped: 0
[420s] 340/1353 | routes: 339 | skipped: 0
[421s] 341/1353 | routes: 340 | skipped: 0
[423s] 342/1353 | routes: 341 | skipped: 0
[424s] 343/1353 | routes: 342 | skipped: 0
[426s] 344/1353 | routes: 343 | skipped: 0
[427s] 345/1353 | routes: 344 | skipped: 0
[429s] 346/1353 | routes: 345 | skipped: 0
[430s] 347/1353 | routes: 346 | skipped: 0
[431s] 348/1353 | routes: 347 | skipped: 0
[432s] 349/1353 | routes: 348 | skipped: 0
[434s] 350/1353 | routes: 349 | skipped: 0
[435s] 351/1353 | routes: 350 | skipped: 0
[437s] 352/1353 | routes: 351 | skipped: 0
[438s] 353/1353 | routes: 352 | skipped: 0
[439s] 354/1353 | routes: 353 | skipped: 0
[441s] 355/1353 | routes: 354 | skipped: 0
[442s] 356/1353 | routes: 355 | skipped: 0
[444s] 357/1353 | routes: 356 | skipped: 0
[445s] 358/1353 | routes: 357 | skipped: 0
[447s] 359/1353 | routes: 358 | skipped: 0
[448s] 360/1353 | routes: 359 | skipped: 0
[450s] 361/1353 | routes: 360 | skipped: 0
[451s] 362/1353 | routes: 361 | skipped: 0
[452s] 363/1353 | routes: 362 | skipped: 0
[454s] 364/1353 | routes: 363 | skipped: 0
[455s] 365/1353 | routes: 364 | skipped: 0
[456s] 366/1353 | routes: 365 | skipped: 0
[457s] 367/1353 | routes: 366 | skipped: 0
[459s] 368/1353 | routes: 367 | skipped: 0
[460s] 369/1353 | routes: 368 | skipped: 0
[461s] 370/1353 | routes: 369 | skipped: 0
[462s] 371/1353 | routes: 370 | skipped: 0
[464s] 372/1353 | routes: 371 | skipped: 0
[465s] 373/1353 | routes: 372 | skipped: 0
[466s] 374/1353 | routes: 373 | skipped: 0
