Anchor Postcode,Duration (min),Route Index,Waypoints,Waypoint Count,Distance (m),Duration (sec),Duration (formatted),Polyline
WF2 0GU,10,58,Ossett WMC → Ossett Flushdyke Junior and Infant School → Ossett WMC,1,6371,452,7min,aotfI`mrHCq@QoFBsAJ}E@e@@gAF}B@_@@UD_ADuATcGLoCFwADiAXqGBYT_EJ_CJmF?i@AWAOKYUq@U_@mAqAc@OQAQ?_@LURW\O\Mj@I|@Bx@Dd@X`@RLRAPGLQJUlA{DJa@p@sBt@aBzDkIFMP_@VaADg@?c@A]E[G]Ia@IOGYG]A[AW?W@wD@y@@[@YD]H[Rg@POPMLINEP@RBTLVXJXFVDVDX@\?ZAtDA|@AZA\ETW~@MZa@fAcAxBkAjCkDhHq@zAq@nBy@bDWvAAFW|AQ`BQjBGlAIdCEvCGnEQnLIdCSvC_@|De@vCg@tBs@dCqAvCwL`SwBhDmDxF{AhCiBbD{@lBoB`Fq@xBe@xBg@xCYpCKzAG`BChCD|BRlDXrCj@`Ev@bDr@tCLRLHP@HCVAPOHOJUF_@BSDO`@iAl@_AlAuBl@oABKBIDIFIFC@?Ri@N_@^{AdAoCb@kAL_@Vm@pAsDDIh@oAZ_@JKTSBC\]`@u@`AeCLm@Pu@ZwAPy@b@kBPq@j@cCJ]XeAJ[XcAT_AjBkGFQ|@{CVmAJe@l@iCVeAJq@H{@Do@Du@?e@?M?}@EgA
WF2 0GU,10,59,"Outwood Primary Academy Kirkhamgate → Kirkhamgate Village Hall, Brandy Carr Road → Outwood Primary Academy Kirkhamgate",1,485,63,1min,{twfIb{mH?@BJRxAJp@D\\|CNl@Lb@yAzAi@l@AO@MBKFIHCH@HFxA{AMc@Om@]wC?EE]Kq@SyACK?A
WF2 0GU,10,60,Phoenix Young People's Centre → NAV Mini Market → Phoenix Young People's Centre,1,577,84,1min,ccufIfziHTq@FSb@qAZw@MUKK??QIQG[I@_@B]Dm@PmAT_BV{Ab@XJJNPVb@Zf@b@j@i@lAk@vAg@hAKR[v@c@pAGRUp@
WF2 0GU,10,61,Pinderfields Hospital PRU → St Annes → Pinderfields Hospital PRU,1,870,159,2min,qowfInehHm@k@MMCHc@~AYbA[~@t@jA\f@d@r@RZj@~@V`@NNPH\N|@`@FB|@`@MjANFOGLkA}@a@GC}@a@]OQIOOcAaBS[e@s@]g@u@kAZ_AXcAb@_BBILLl@j@
WF2 0GU,10,62,Pizza Ferrara → Alverthorpe Conservative Club → Pizza Ferrara,1,551,112,1min,{fufIrbjH^iAf@{AdAwCFSb@~@Zn@BH}AlCOSNRZg@`AeBCI[o@c@_AGReAvCg@zA_@hA
WF2 0GU,10,63,Pumaspeed → NAV Mini Market → Pumaspeed,1,626,89,1min,}cufI`|iHn@kBFSb@qAZw@MUKK??QIQG[I@_@B]Dm@PmAT_BV{Ab@XJJNPVb@Zf@b@j@i@lAk@vAg@hAKR[v@c@pAGRo@jB
WF2 0GU,10,64,R H Binks And Sons → Methodist Church → R H Binks And Sons,1,449,64,1min,gm{fI`blHNaBg@iDCQIs@AE]cCZNJ@ZDZ@L?n@Al@AUp@EPw@pCa@lCO`B
WF2 0GU,10,65,Ramada → Shell Select → Ramada,1,1224,166,2min,u}sfIhxmH??EBMSCCEEQWAKScAIHEDOHEBEFEDIPANEN?\?B?HBRH\DLFNVf@HN^j@VPLDD@B?B?NEzCuHPg@Rc@JS`@w@@[Ea@BS@CHU@C??RATZb@iAD_@\_ABQA_@q@gAw@m@KEMGo@_@e@e@[_@SU_@m@KMEECAKCIDK@OFEHEJ{AbHKd@SdAI`@Gd@Kx@CXKfAA`@?LBNBP??FTBBLDH@F@D?NIDEHIRbA@JPVDDBBLRDC??
WF2 0GU,10,66,Restyle Fitness → China And Thai Express → Restyle Fitness,1,414,90,1min,gn{fInrkHD@Cd@ZDZ@L?n@Al@AUp@EPw@pCa@lC[yBKo@CQKy@]cCZNJ@Be@EA
WF2 0GU,10,67,Royal Spice → The Glynn Living → Royal Spice,1,534,93,1min,_uvfIdbgHF[Ls@NG`@Wb@c@fCyCPl@Dd@F^FLJLHLJZ[ZZ[K[IMKMGMG_@Ee@Qm@q@v@uA`Bc@b@a@VOFMr@GZ
